date,user_id,income_inr,total_spend_inr,spend_food_delivery_inr,spend_ecommerce_inr,spend_groceries_inr,spend_transport_inr,spend_entertainment_inr,spend_healthcare_inr,spend_rent_or_home_inr,spend_loan_emi_inr,spend_education_inr,spend_misc_inr,spend_upi_inr,spend_wallet_inr,spend_card_inr,spend_netbanking_inr,spend_bank_transfer_inr,spend_gpay_inr,spend_credit_card_inr,spend_debit_card_inr,cash_balance_est_inr
2025-09-22,U001,0.0,1457.04,528.09,166.09,239.31,83.4,42.31,25.1,0.0,0.0,0.0,372.74,553.19,281.62,538.83,83.4,0.0,553.19,538.83,0.0,-23365.88
2025-09-23,U001,0.0,1357.62,151.91,512.41,235.35,220.38,55.32,2.25,0.0,0.0,0.0,180.0,55.32,2.25,899.67,400.38,0.0,55.32,387.26,512.41,-24723.5
2025-09-24,U001,0.0,1626.18,491.36,229.83,56.79,132.48,151.99,33.38,0.0,0.0,0.0,530.35,151.99,1244.36,0.0,229.83,0.0,151.99,0.0,0.0,-26349.68
2025-09-25,U001,0.0,742.2,11.03,110.34,149.06,148.2,69.74,92.48,0.0,0.0,0.0,161.35,110.34,172.38,162.22,297.26,0.0,110.34,0.0,162.22,-27091.88
2025-09-26,U001,0.0,1396.96,236.7,61.99,462.11,87.78,23.43,30.29,0.0,0.0,0.0,494.66,236.7,485.54,556.65,118.07,0.0,0.0,494.66,61.99,-28488.84
2025-09-27,U001,0.0,3857.44,327.6,1931.92,383.15,205.31,196.75,128.71,0.0,0.0,0.0,684.0,205.31,684.0,839.46,2128.67,0.0,0.0,456.31,383.15,-32346.28
2025-09-28,U001,0.0,1537.2,244.47,93.16,173.51,262.57,79.45,72.04,0.0,0.0,0.0,612.0,857.55,337.63,342.02,0.0,0.0,612.0,0.0,342.02,-33883.48
2025-09-29,U001,0.0,1343.62,483.02,117.89,326.85,124.78,13.78,31.85,0.0,0.0,0.0,245.45,483.02,476.59,384.01,0.0,0.0,483.02,384.01,0.0,-35227.1
2025-09-30,U001,45000.0,1672.03,575.98,11.46,284.07,236.17,132.35,0.0,0.0,0.0,0.0,432.0,0.0,0.0,860.05,811.98,0.0,0.0,575.98,284.07,8100.87
2025-10-01,U001,0.0,1746.37,407.31,0.0,289.5,235.16,101.54,0.0,0.0,0.0,0.0,712.86,0.0,1103.9,407.31,235.16,0.0,0.0,0.0,407.31,6354.5
2025-10-02,U001,0.0,1437.46,331.16,230.42,183.38,121.24,237.02,39.7,0.0,0.0,0.0,294.54,652.8,223.08,230.42,331.16,0.0,0.0,230.42,0.0,4917.04
2025-10-03,U001,0.0,1733.88,551.16,217.15,214.1,133.18,84.58,90.29,0.0,0.0,0.0,443.42,443.42,0.0,90.29,1200.17,0.0,443.42,90.29,0.0,3183.16
2025-10-04,U001,0.0,2947.6,697.5,891.73,306.61,306.42,111.14,40.19,0.0,0.0,0.0,594.01,594.01,417.56,1004.11,931.92,0.0,0.0,1004.11,0.0,235.56
2025-10-05,U001,0.0,14087.33,560.05,8.54,71.46,219.2,253.32,85.12,12000.0,0.0,0.0,889.64,1032.57,85.12,898.18,12071.46,0.0,219.2,889.64,8.54,-13851.77
2025-10-06,U001,0.0,1985.37,608.65,0.0,330.57,196.21,49.68,0.0,0.0,0.0,0.0,800.26,1135.43,0.0,849.94,0.0,0.0,526.78,849.94,0.0,-15837.14
2025-10-07,U001,0.0,1144.1,462.38,0.0,96.91,136.0,47.55,20.58,0.0,0.0,0.0,380.68,863.64,183.55,0.0,96.91,0.0,401.26,0.0,0.0,-16981.24
2025-10-08,U001,0.0,2149.05,321.37,224.75,220.12,166.27,88.37,109.52,0.0,0.0,0.0,1018.65,1331.77,0.0,329.64,487.64,0.0,0.0,220.12,109.52,-19130.29
2025-10-09,U001,0.0,1431.77,391.75,0.0,147.83,216.33,0.0,40.48,0.0,0.0,0.0,635.38,0.0,216.33,539.58,675.86,0.0,0.0,539.58,0.0,-20562.06
2025-10-10,U001,0.0,2073.5,774.78,226.67,172.03,174.75,78.27,35.0,0.0,0.0,0.0,612.0,560.29,253.02,172.03,1088.16,0.0,560.29,172.03,0.0,-22635.56
2025-10-11,U001,0.0,4424.14,887.83,2107.21,0.0,159.0,72.73,0.0,0.0,0.0,0.0,1197.37,887.83,159.0,2287.81,1089.5,0.0,0.0,2215.08,72.73,-27059.7
2025-10-12,U001,0.0,2025.44,612.21,41.74,387.1,113.27,115.12,0.0,0.0,0.0,0.0,756.0,0.0,41.74,984.39,999.31,0.0,0.0,0.0,984.39,-29085.14
2025-10-13,U001,0.0,2011.58,600.58,0.0,393.53,174.2,50.08,43.6,0.0,0.0,0.0,749.59,487.21,600.58,749.59,174.2,0.0,443.61,0.0,749.59,-31096.72
2025-10-14,U001,0.0,2185.11,780.11,0.0,60.44,210.32,260.68,0.0,0.0,0.0,0.0,873.56,990.43,321.12,0.0,873.56,0.0,210.32,0.0,0.0,-33281.83
2025-10-15,U001,0.0,1934.93,541.55,46.66,290.44,181.2,198.37,66.54,0.0,0.0,0.0,610.17,0.0,656.83,290.44,987.66,0.0,0.0,290.44,0.0,-35216.76
2025-10-16,U001,0.0,2270.16,532.34,182.01,303.0,159.19,156.52,57.48,0.0,0.0,0.0,879.62,360.48,159.19,1411.96,338.53,0.0,57.48,879.62,532.34,-37486.92
2025-10-17,U001,0.0,2655.36,633.35,455.18,400.26,193.11,0.0,133.43,0.0,0.0,0.0,840.03,455.18,633.35,593.37,973.46,0.0,455.18,593.37,0.0,-40142.28
2025-10-18,U001,0.0,2336.39,452.67,111.09,248.04,213.65,144.23,10.99,0.0,0.0,0.0,1155.72,357.88,1277.8,248.04,452.67,0.0,357.88,248.04,0.0,-42478.67
2025-10-19,U001,0.0,1857.54,849.39,99.45,185.39,205.74,86.38,53.19,0.0,0.0,0.0,378.0,292.12,849.39,530.64,185.39,0.0,86.38,530.64,0.0,-44336.21
2025-10-20,U001,0.0,2633.33,968.17,229.28,84.15,171.25,122.39,123.22,0.0,0.0,0.0,934.87,522.92,1058.09,968.17,84.15,0.0,400.53,968.17,0.0,-46969.54
2025-10-21,U001,0.0,1988.99,606.41,442.46,25.98,158.49,99.9,25.85,0.0,0.0,0.0,629.9,0.0,1098.34,99.9,790.75,0.0,0.0,0.0,99.9,-48958.53
2025-10-22,U001,0.0,1663.87,355.07,421.85,145.22,251.85,0.0,123.13,0.0,0.0,0.0,366.75,922.14,0.0,251.85,489.88,0.0,922.14,0.0,251.85,-50622.4
2025-10-23,U001,0.0,2116.74,630.98,243.28,219.28,202.93,281.48,120.68,0.0,0.0,0.0,418.11,120.68,630.98,219.28,1145.8,0.0,120.68,0.0,219.28,-52739.14
2025-10-24,U001,0.0,1121.9,184.7,147.35,193.39,156.0,29.77,20.02,0.0,0.0,0.0,390.67,576.44,20.02,340.74,184.7,0.0,185.77,340.74,0.0,-53861.04
2025-10-25,U001,0.0,1327.28,233.41,317.32,260.27,160.56,0.0,33.2,0.0,0.0,0.0,322.52,0.0,483.08,293.47,550.73,0.0,0.0,260.27,33.2,-55188.32
2025-10-26,U001,0.0,2167.91,631.8,151.22,277.71,201.39,169.35,102.32,0.0,0.0,0.0,634.12,734.12,634.12,799.67,0.0,0.0,102.32,630.32,169.35,-57356.23
2025-10-27,U001,0.0,1209.25,258.97,354.45,10.73,221.25,30.64,135.21,0.0,0.0,0.0,198.0,617.07,135.21,0.0,456.97,0.0,365.18,0.0,0.0,-58565.48
2025-10-28,U001,0.0,1491.24,177.49,341.73,151.4,174.4,132.94,18.81,0.0,0.0,0.0,494.47,151.4,0.0,668.87,670.97,0.0,151.4,668.87,0.0,-60056.72
2025-10-29,U001,0.0,1381.07,355.83,0.0,183.99,265.4,0.0,8.57,0.0,0.0,0.0,567.28,183.99,0.0,8.57,1188.51,0.0,183.99,8.57,0.0,-61437.79
2025-10-30,U001,0.0,2823.0,1052.62,276.66,261.28,133.85,213.89,2.7,0.0,0.0,0.0,882.0,0.0,1145.98,1329.28,347.74,0.0,0.0,1329.28,0.0,-64260.79
2025-10-31,U001,45000.0,1851.56,293.69,97.28,304.28,163.98,107.55,92.03,0.0,0.0,0.0,792.75,189.31,468.26,1193.99,0.0,0.0,0.0,1193.99,0.0,-21112.35
2025-11-01,U001,0.0,4710.2,695.78,2159.87,432.57,93.16,25.85,0.0,0.0,0.0,0.0,1302.97,2431.32,93.16,0.0,2185.72,0.0,1302.97,0.0,0.0,-25822.55
2025-11-02,U001,0.0,2372.99,296.33,234.12,297.77,239.72,89.44,42.98,0.0,0.0,0.0,1172.63,385.77,234.12,297.77,1455.33,0.0,0.0,297.77,0.0,-28195.54
2025-11-03,U001,0.0,2668.18,745.5,574.82,444.84,92.56,79.55,28.91,0.0,0.0,0.0,702.0,444.84,874.11,745.5,603.73,0.0,0.0,745.5,0.0,-30863.72
2025-11-04,U001,0.0,2167.04,606.0,117.01,14.1,236.42,270.42,111.59,0.0,0.0,0.0,811.5,1047.92,270.42,111.59,737.11,0.0,236.42,111.59,0.0,-33030.76
2025-11-05,U001,0.0,14260.46,1168.75,0.0,104.45,298.35,134.6,14.31,12000.0,0.0,0.0,540.0,12134.6,688.45,417.11,1020.3,0.0,12134.6,104.45,312.66,-47291.22
2025-11-06,U001,0.0,1988.83,648.02,66.19,0.0,193.21,80.09,65.32,0.0,0.0,0.0,936.0,0.0,338.62,1650.21,0.0,0.0,0.0,648.02,1002.19,-49280.05
2025-11-07,U001,0.0,2389.4,932.9,122.88,363.41,249.6,61.33,44.6,0.0,0.0,0.0,614.68,0.0,372.48,977.5,1039.42,0.0,0.0,932.9,44.6,-51669.45
2025-11-08,U001,0.0,4462.05,945.19,1641.57,170.79,191.41,131.52,117.88,0.0,0.0,0.0,1263.69,2875.43,131.52,1455.1,0.0,0.0,1812.36,0.0,1455.1,-56131.5
2025-11-09,U001,0.0,3091.95,1011.13,0.0,69.78,199.13,246.88,0.0,0.0,0.0,0.0,1565.03,1565.03,1011.13,246.88,268.91,0.0,0.0,0.0,246.88,-59223.45
2025-11-10,U001,0.0,1976.87,534.85,0.0,118.31,203.99,83.12,96.76,0.0,0.0,0.0,939.84,534.85,300.75,201.43,939.84,0.0,534.85,0.0,201.43,-61200.32
2025-11-11,U001,0.0,2525.17,935.49,124.9,253.87,238.52,294.81,140.96,0.0,0.0,0.0,536.62,379.48,378.77,0.0,1766.92,0.0,238.52,0.0,0.0,-63725.49
2025-11-12,U001,0.0,1132.29,127.67,74.42,123.96,122.24,0.0,136.42,0.0,0.0,0.0,547.58,0.0,127.67,547.58,457.04,0.0,0.0,547.58,0.0,-64857.78
2025-11-13,U001,0.0,1340.47,501.74,164.54,84.76,185.74,0.0,27.38,0.0,0.0,0.0,376.31,27.38,461.07,185.74,666.28,0.0,0.0,0.0,185.74,-66198.25
2025-11-14,U001,0.0,1117.5,187.84,139.28,163.63,265.77,137.04,83.61,0.0,0.0,0.0,140.33,265.77,83.61,491.8,276.32,0.0,265.77,351.47,140.33,-67315.75
2025-11-15,U001,0.0,2542.89,309.05,1311.96,64.6,212.85,246.35,125.9,0.0,0.0,0.0,272.18,712.4,246.35,272.18,1311.96,0.0,338.75,272.18,0.0,-69858.64
2025-11-16,U001,0.0,1528.92,420.88,0.0,219.59,208.9,0.0,67.55,0.0,0.0,0.0,612.0,428.49,488.43,0.0,612.0,0.0,208.9,0.0,0.0,-71387.56
2025-11-17,U001,0.0,1913.66,470.1,198.93,364.67,170.32,169.64,0.0,0.0,0.0,0.0,540.0,1179.74,534.99,0.0,198.93,0.0,1179.74,0.0,0.0,-73301.22
2025-11-18,U001,0.0,1776.86,883.58,127.32,98.83,201.5,3.28,56.9,0.0,0.0,0.0,405.45,0.0,846.62,626.63,303.61,0.0,0.0,0.0,626.63,-75078.08
2025-11-19,U001,0.0,1208.96,543.42,0.0,59.55,288.86,0.0,0.0,0.0,0.0,0.0,317.13,891.83,0.0,317.13,0.0,0.0,832.28,317.13,0.0,-76287.04
2025-11-20,U001,0.0,1068.6,281.57,0.0,59.72,152.37,0.0,83.1,0.0,0.0,0.0,491.84,644.21,341.29,83.1,0.0,0.0,491.84,0.0,83.1,-77355.64
2025-11-21,U001,0.0,1307.25,323.71,185.42,139.6,278.4,173.36,0.0,0.0,0.0,0.0,206.76,715.89,173.36,418.0,0.0,0.0,530.47,418.0,0.0,-78662.89
2025-11-22,U001,0.0,2327.16,594.75,615.9,259.34,189.28,6.95,51.84,0.0,0.0,0.0,609.1,196.23,0.0,927.08,1203.85,0.0,196.23,927.08,0.0,-80990.05
2025-11-23,U001,0.0,1601.84,326.02,0.0,0.0,100.93,201.75,89.66,0.0,0.0,0.0,883.48,973.14,100.93,0.0,527.77,0.0,0.0,0.0,0.0,-82591.89
2025-11-24,U001,0.0,1798.45,561.75,144.15,220.45,118.4,133.55,26.64,0.0,0.0,0.0,593.51,220.45,304.34,1273.66,0.0,0.0,220.45,680.15,593.51,-84390.34
2025-11-25,U001,0.0,1614.95,507.73,318.8,317.84,141.66,76.92,0.0,0.0,0.0,0.0,252.0,317.84,318.8,470.58,507.73,0.0,0.0,393.66,76.92,-86005.29
2025-11-26,U001,0.0,1753.13,545.0,416.04,177.66,177.46,0.0,87.13,0.0,0.0,0.0,349.84,177.66,416.04,981.97,177.46,0.0,0.0,349.84,632.13,-87758.42
2025-11-27,U001,0.0,1135.01,377.28,128.45,4.61,210.53,0.0,36.14,0.0,0.0,0.0,378.0,883.73,210.53,4.61,36.14,0.0,0.0,4.61,0.0,-88893.43
2025-11-28,U001,0.0,1607.96,332.96,139.48,115.19,189.92,294.14,210.56,0.0,0.0,0.0,325.71,294.14,0.0,865.67,448.15,0.0,294.14,189.92,675.75,-90501.39
2025-11-29,U001,0.0,2930.43,202.05,1855.89,100.15,164.42,11.5,0.0,0.0,0.0,0.0,596.42,1956.04,607.92,164.42,202.05,0.0,1149.92,164.42,0.0,-93431.82
2025-11-30,U001,45000.0,1534.69,172.08,0.0,361.6,177.7,157.31,0.0,0.0,0.0,0.0,666.0,0.0,838.08,0.0,696.61,0.0,0.0,0.0,0.0,-49966.51
2025-12-01,U001,0.0,1590.27,388.15,0.0,198.94,236.59,233.37,0.0,0.0,0.0,0.0,533.22,1003.18,388.15,198.94,0.0,0.0,469.96,0.0,198.94,-51556.78
2025-12-02,U001,0.0,1640.34,382.12,286.42,211.22,259.36,159.2,0.0,0.0,0.0,0.0,342.02,159.2,0.0,812.6,668.54,0.0,0.0,259.36,553.24,-53197.12
2025-12-03,U001,0.0,1949.36,50.93,543.55,83.1,229.24,318.34,53.89,0.0,0.0,0.0,670.31,229.24,594.48,988.65,136.99,0.0,0.0,318.34,670.31,-55146.48
2025-12-04,U001,0.0,1794.13,714.13,0.0,322.99,106.53,20.52,2.86,0.0,0.0,0.0,627.1,0.0,950.09,357.79,486.25,0.0,0.0,23.38,334.41,-56940.61
2025-12-05,U001,0.0,13901.03,466.28,215.8,325.4,245.43,26.2,135.92,12000.0,0.0,0.0,486.0,12461.32,245.43,701.8,492.48,0.0,461.32,0.0,701.8,-70841.64
2025-12-06,U001,0.0,4219.17,525.75,2583.49,231.66,128.79,144.11,28.78,0.0,0.0,0.0,576.59,2230.51,0.0,1231.25,757.41,0.0,1653.92,272.9,958.35,-75060.81
2025-12-07,U001,0.0,1007.78,87.79,105.66,294.32,227.44,5.08,71.49,0.0,0.0,0.0,216.0,425.97,365.81,216.0,0.0,0.0,0.0,0.0,216.0,-76068.59
2025-12-08,U001,0.0,944.56,61.03,27.47,294.87,125.74,201.45,0.0,0.0,0.0,0.0,234.0,496.32,359.74,88.5,0.0,0.0,294.87,88.5,0.0,-77013.15
2025-12-09,U001,0.0,1529.94,745.53,11.14,170.93,207.31,61.02,118.01,0.0,0.0,0.0,216.0,218.45,318.69,715.78,277.02,0.0,11.14,288.94,426.84,-78543.09
2025-12-10,U001,0.0,2572.45,919.12,556.07,136.72,175.31,274.29,0.0,0.0,0.0,0.0,510.94,919.12,274.29,1067.01,312.03,0.0,0.0,1067.01,0.0,-81115.54
2025-12-11,U001,0.0,2481.97,508.59,837.25,93.6,171.11,38.44,19.01,0.0,0.0,0.0,813.97,0.0,38.44,837.25,1606.28,0.0,0.0,837.25,0.0,-83597.51
2025-12-12,U001,0.0,2511.65,721.27,1074.14,431.16,104.88,54.2,0.0,0.0,0.0,0.0,126.0,0.0,755.06,1035.32,721.27,0.0,0.0,1035.32,0.0,-86109.16
2025-12-13,U001,0.0,4825.67,719.27,2541.01,321.55,170.45,102.05,180.64,0.0,0.0,0.0,790.7,1745.27,321.55,1968.15,790.7,0.0,1574.82,1968.15,0.0,-90934.83
2025-12-14,U001,0.0,5010.05,870.49,2794.81,261.21,199.92,62.74,49.98,0.0,0.0,0.0,770.9,1541.57,423.77,1854.17,1190.54,0.0,509.46,1854.17,0.0,-95944.88
2025-12-15,U001,0.0,2233.37,820.69,261.21,284.23,142.24,253.85,0.0,0.0,0.0,0.0,471.15,1545.69,142.24,261.21,284.23,0.0,471.15,0.0,261.21,-98178.25
2025-12-16,U001,0.0,3957.93,882.29,1802.96,343.61,271.68,163.21,37.26,0.0,0.0,0.0,456.92,620.13,343.61,2994.19,0.0,0.0,620.13,2994.19,0.0,-102136.18
2025-12-17,U001,0.0,3367.39,537.04,1770.43,92.25,310.02,118.03,17.62,0.0,0.0,0.0,522.0,118.03,2847.09,0.0,402.27,0.0,118.03,0.0,0.0,-105503.57
2025-12-18,U001,0.0,3410.32,919.77,731.36,255.74,310.23,235.01,43.97,0.0,0.0,0.0,914.24,0.0,1320.57,1834.01,255.74,0.0,0.0,1834.01,0.0,-108913.89
2025-12-19,U001,0.0,3127.13,561.05,1480.8,233.83,147.07,165.65,81.91,0.0,0.0,0.0,456.82,1042.44,1435.43,649.26,0.0,0.0,1042.44,649.26,0.0,-112041.02
2025-12-20,U001,0.0,4319.37,483.76,2304.37,322.39,291.3,173.47,101.77,0.0,0.0,0.0,642.31,2579.61,613.69,0.0,1126.07,0.0,2406.14,0.0,0.0,-116360.39
2025-12-21,U001,0.0,2947.24,583.03,614.58,142.96,252.5,39.73,156.55,0.0,0.0,0.0,1157.89,0.0,299.51,875.26,1772.47,0.0,0.0,252.5,622.76,-119307.63
2025-12-22,U001,0.0,2568.8,565.9,354.55,276.45,254.13,275.84,0.0,0.0,0.0,0.0,841.93,1762.38,530.58,275.84,0.0,0.0,1762.38,275.84,0.0,-121876.43
2025-12-23,U001,0.0,1969.21,682.78,519.13,28.82,186.65,155.83,0.0,0.0,0.0,0.0,396.0,0.0,943.95,342.48,682.78,0.0,0.0,342.48,0.0,-123845.64
2025-12-24,U001,0.0,3994.44,749.32,1625.94,239.32,256.25,207.21,30.03,0.0,0.0,0.0,886.37,1912.22,207.21,0.0,1875.01,0.0,256.25,0.0,0.0,-127840.08
2025-12-25,U001,0.0,1578.4,556.3,189.95,257.94,80.73,151.48,0.0,0.0,0.0,0.0,342.0,232.21,556.3,0.0,789.89,0.0,232.21,0.0,0.0,-129418.48
2025-12-26,U001,0.0,3299.37,742.42,1406.53,140.66,243.19,0.0,96.46,0.0,0.0,0.0,670.11,838.88,383.85,0.0,2076.64,0.0,838.88,0.0,0.0,-132717.85
2025-12-27,U001,0.0,5647.04,818.33,3618.5,257.93,170.84,78.65,0.0,0.0,0.0,0.0,702.79,1368.94,0.0,4199.45,78.65,0.0,1368.94,4199.45,0.0,-138364.89
2025-12-28,U001,0.0,3875.12,473.13,1782.93,128.04,180.9,163.07,60.99,0.0,0.0,0.0,1086.06,534.12,128.04,3049.89,163.07,0.0,60.99,2868.99,180.9,-142240.01
2025-12-29,U001,0.0,2365.94,370.22,615.94,91.25,195.13,250.66,0.0,0.0,0.0,0.0,842.74,341.91,1458.68,0.0,565.35,0.0,0.0,0.0,0.0,-144605.95
2025-12-30,U001,0.0,3519.41,424.34,1654.72,190.2,249.14,83.34,51.12,0.0,0.0,0.0,866.55,249.14,1789.18,1290.89,190.2,0.0,249.14,1290.89,0.0,-148125.36
2025-12-31,U001,50000.0,3991.31,752.11,1879.86,129.89,77.56,424.07,0.0,0.0,0.0,0.0,727.82,788.83,1920.7,129.89,1151.89,0.0,788.83,129.89,0.0,-102116.67
2026-01-01,U001,0.0,2962.66,596.79,999.89,175.97,247.74,318.89,4.64,0.0,0.0,0.0,618.74,1215.53,0.0,742.6,1004.53,0.0,596.79,742.6,0.0,-105079.33
2026-01-02,U001,0.0,3022.33,968.47,711.58,148.15,189.69,364.09,0.0,0.0,0.0,0.0,640.35,701.93,0.0,498.37,1822.03,0.0,337.84,498.37,0.0,-108101.66
2026-01-03,U001,0.0,5756.27,761.88,3984.65,137.84,133.9,0.0,0.0,0.0,0.0,0.0,738.0,875.84,133.9,1384.1,3362.43,0.0,137.84,1384.1,0.0,-113857.93
2026-01-04,U001,0.0,3885.51,361.82,1959.31,375.28,190.02,58.92,46.4,0.0,0.0,0.0,893.76,46.4,1314.5,2524.61,0.0,0.0,0.0,2334.59,190.02,-117743.44
2026-01-05,U001,0.0,15308.67,334.38,1570.75,350.83,188.52,211.5,42.28,12000.0,0.0,0.0,610.41,522.9,350.83,14181.16,253.78,0.0,522.9,12610.41,1570.75,-133052.11
2026-01-06,U001,0.0,1970.72,775.41,299.65,346.54,206.63,107.95,0.0,0.0,0.0,0.0,234.54,107.95,808.32,299.65,754.8,0.0,107.95,299.65,0.0,-135022.83
