txn_id,user_id,txn_datetime,direction,category,merchant,amount_inr,payment_method,payment_rail,payment_subtype,instrument_id,is_upi,is_gpay,is_credit_card,notes
T000015,U001,2025-08-24T18:30:00,debit,ECOMMERCE,Amazon,228.67,wallet,WALLET,paytm_wallet,PI006,False,False,False,Online shopping
T000016,U001,2025-08-24T18:25:00,debit,GROCERIES,Local store,37.01,upi,UPI,gpay,PI001,True,True,False,
T000017,U001,2025-08-24T20:10:00,debit,TRANSPORT,Ola,260.11,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000018,U001,2025-08-24T18:20:00,debit,ENTERTAINMENT,Movies,110.78,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000019,U001,2025-08-24T16:55:00,debit,HEALTHCARE,Clinic,98.02,card,CARD,credit_card,PI004,False,False,True,
T000020,U001,2025-08-24T16:30:00,debit,MISC,Bar,182.15,upi,UPI,gpay,PI001,True,True,False,
T000021,U001,2025-08-25T21:55:00,debit,FOOD_DELIVERY,Zomato,445.53,upi,UPI,gpay,PI001,True,True,False,Food order
T000022,U001,2025-08-25T19:55:00,debit,ECOMMERCE,Flipkart,320.99,upi,UPI,phonepe,PI002,True,False,False,Online shopping
T000023,U001,2025-08-25T12:25:00,debit,GROCERIES,DMart,191.3,upi,UPI,gpay,PI001,True,True,False,
T000024,U001,2025-08-25T08:20:00,debit,TRANSPORT,Metro card,128.37,card,CARD,credit_card,PI004,False,False,True,
T000025,U001,2025-08-25T19:50:00,debit,ENTERTAINMENT,Movies,104.35,upi,UPI,gpay,PI001,True,True,False,
T000026,U001,2025-08-25T11:20:00,debit,HEALTHCARE,Pharmacy,6.9,upi,UPI,gpay,PI001,True,True,False,
T000027,U001,2025-08-25T14:35:00,debit,MISC,Wallet,442.13,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000028,U001,2025-08-26T21:30:00,debit,FOOD_DELIVERY,Zomato,514.34,wallet,WALLET,amazon_pay,PI035,False,False,False,Food order
T000029,U001,2025-08-26T18:00:00,debit,ECOMMERCE,Amazon,709.05,card,CARD,credit_card,PI004,False,False,True,Online shopping
T000030,U001,2025-08-26T17:20:00,debit,GROCERIES,Local store,69.6,card,CARD,credit_card,PI004,False,False,True,
T000031,U001,2025-08-26T18:20:00,debit,TRANSPORT,Metro card,156.43,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000032,U001,2025-08-26T19:55:00,debit,ENTERTAINMENT,Cafe,130.28,card,CARD,credit_card,PI004,False,False,True,
T000033,U001,2025-08-26T09:30:00,debit,HEALTHCARE,Clinic,78.95,card,CARD,credit_card,PI004,False,False,True,
T000034,U001,2025-08-26T18:30:00,debit,MISC,Wallet,511.64,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000035,U001,2025-08-27T21:45:00,debit,FOOD_DELIVERY,Zomato,85.43,card,CARD,credit_card,PI004,False,False,True,Food order
T000036,U001,2025-08-27T16:30:00,debit,ECOMMERCE,Amazon,593.67,card,CARD,credit_card,PI004,False,False,True,Online shopping
T000037,U001,2025-08-27T15:55:00,debit,GROCERIES,Local store,120.43,upi,UPI,bank_upi,PI003,True,False,False,
T000038,U001,2025-08-27T14:20:00,debit,TRANSPORT,Auto,195.03,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000039,U001,2025-08-27T21:05:00,debit,ENTERTAINMENT,Netflix,165.29,card,CARD,debit_card,PI005,False,False,False,
T000040,U001,2025-08-27T11:25:00,debit,HEALTHCARE,Pharmacy,24.03,upi,UPI,bank_upi,PI003,True,False,False,
T000041,U001,2025-08-27T19:55:00,debit,MISC,Cigarettes,332.08,upi,UPI,gpay,PI001,True,True,False,
T000042,U001,2025-08-28T21:50:00,debit,FOOD_DELIVERY,Zomato,89.16,card,CARD,credit_card,PI004,False,False,True,Food order
T000043,U001,2025-08-28T20:00:00,debit,ECOMMERCE,Amazon,262.61,wallet,WALLET,paytm_wallet,PI006,False,False,False,Online shopping
T000044,U001,2025-08-28T12:15:00,debit,TRANSPORT,Ola,231.36,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000045,U001,2025-08-28T19:20:00,debit,ENTERTAINMENT,Cafe,49.1,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000046,U001,2025-08-28T16:45:00,debit,HEALTHCARE,Pharmacy,88.96,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000047,U001,2025-08-28T12:30:00,debit,MISC,Bar,496.11,upi,UPI,gpay,PI001,True,True,False,
T000048,U001,2025-08-29T21:15:00,debit,FOOD_DELIVERY,Zomato,301.93,upi,UPI,gpay,PI001,True,True,False,Food order
T000049,U001,2025-08-29T18:10:00,debit,GROCERIES,Local store,189.28,upi,UPI,bank_upi,PI003,True,False,False,
T000050,U001,2025-08-29T08:35:00,debit,TRANSPORT,Auto,63.16,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000051,U001,2025-08-29T19:00:00,debit,ENTERTAINMENT,YouTube Premium,231.2,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000052,U001,2025-08-29T10:50:00,debit,HEALTHCARE,Pharmacy,6.91,card,CARD,debit_card,PI005,False,False,False,
T000053,U001,2025-08-29T18:30:00,debit,MISC,Wallet,270.0,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000054,U001,2025-08-30T20:45:00,debit,FOOD_DELIVERY,Swiggy,535.86,netbanking,NETBANKING,netbanking,PI007,False,False,False,Food order
T000055,U001,2025-08-30T13:40:00,debit,ECOMMERCE,Flipkart,864.01,upi,UPI,gpay,PI001,True,True,False,Online shopping
T000056,U001,2025-08-30T12:35:00,debit,ECOMMERCE,Flipkart,791.03,card,CARD,credit_card,PI004,False,False,True,Online shopping
T000057,U001,2025-08-30T12:35:00,debit,GROCERIES,Local store,93.76,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000058,U001,2025-08-30T15:10:00,debit,TRANSPORT,Uber,217.77,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000059,U001,2025-08-30T18:25:00,debit,ENTERTAINMENT,Movies,42.74,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000060,U001,2025-08-30T17:30:00,debit,MISC,UPI transfer,559.6,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000061,U001,2025-08-31T11:00:00,credit,INCOME,Salary,45000.0,bank_transfer,BANK_TRANSFER,imps,PI008,False,False,False,
T000062,U001,2025-08-31T19:30:00,debit,FOOD_DELIVERY,Zomato,868.49,upi,UPI,phonepe,PI002,True,False,False,Food order
T000063,U001,2025-08-31T16:40:00,debit,ECOMMERCE,Amazon,25.83,netbanking,NETBANKING,netbanking,PI007,False,False,False,Online shopping
T000064,U001,2025-08-31T11:25:00,debit,GROCERIES,DMart,174.13,upi,UPI,bank_upi,PI003,True,False,False,
T000065,U001,2025-08-31T15:35:00,debit,TRANSPORT,Uber,241.62,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000066,U001,2025-08-31T18:20:00,debit,ENTERTAINMENT,YouTube Premium,146.82,upi,UPI,bank_upi,PI003,True,False,False,
T000067,U001,2025-08-31T17:20:00,debit,HEALTHCARE,Pharmacy,56.4,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000068,U001,2025-08-31T10:00:00,debit,MISC,Wallet,882.0,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000069,U001,2025-09-01T19:20:00,debit,FOOD_DELIVERY,Zomato,347.35,card,CARD,debit_card,PI005,False,False,False,Food order
T000070,U001,2025-09-01T21:50:00,debit,ECOMMERCE,Myntra,53.55,upi,UPI,gpay,PI001,True,True,False,Online shopping
T000071,U001,2025-09-01T18:10:00,debit,GROCERIES,BigBasket,292.31,upi,UPI,gpay,PI001,True,True,False,
T000072,U001,2025-09-01T10:50:00,debit,TRANSPORT,Auto,219.37,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000073,U001,2025-09-01T22:35:00,debit,ENTERTAINMENT,Netflix,106.04,card,CARD,credit_card,PI004,False,False,True,
T000074,U001,2025-09-01T09:50:00,debit,HEALTHCARE,Clinic,76.41,card,CARD,credit_card,PI004,False,False,True,
T000075,U001,2025-09-01T10:15:00,debit,MISC,Wallet,187.67,card,CARD,credit_card,PI004,False,False,True,
T000076,U001,2025-09-02T22:05:00,debit,FOOD_DELIVERY,Zomato,426.7,card,CARD,debit_card,PI005,False,False,False,Food order
T000077,U001,2025-09-02T18:10:00,debit,ECOMMERCE,Flipkart,374.11,wallet,WALLET,paytm_wallet,PI006,False,False,False,Online shopping
T000078,U001,2025-09-02T14:40:00,debit,GROCERIES,Local store,144.59,upi,UPI,gpay,PI001,True,True,False,
T000079,U001,2025-09-02T20:40:00,debit,TRANSPORT,Uber,143.25,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000080,U001,2025-09-02T10:45:00,debit,HEALTHCARE,Clinic,107.59,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000081,U001,2025-09-02T13:45:00,debit,MISC,UPI transfer,332.16,upi,UPI,bank_upi,PI003,True,False,False,
T000082,U001,2025-09-03T19:00:00,debit,FOOD_DELIVERY,Swiggy,268.42,wallet,WALLET,paytm_wallet,PI006,False,False,False,Food order
T000083,U001,2025-09-03T11:40:00,debit,ECOMMERCE,Amazon,379.03,wallet,WALLET,amazon_pay,PI035,False,False,False,Online shopping
T000084,U001,2025-09-03T11:45:00,debit,GROCERIES,DMart,123.65,card,CARD,debit_card,PI005,False,False,False,
T000085,U001,2025-09-03T10:40:00,debit,TRANSPORT,Auto,159.32,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000086,U001,2025-09-03T19:10:00,debit,ENTERTAINMENT,YouTube Premium,42.14,card,CARD,credit_card,PI004,False,False,True,
T000087,U001,2025-09-03T16:35:00,debit,HEALTHCARE,Clinic,78.64,card,CARD,credit_card,PI004,False,False,True,
T000088,U001,2025-09-03T18:55:00,debit,MISC,Bar,276.17,wallet,WALLET,amazon_pay,PI035,False,False,False,
T000089,U001,2025-09-04T22:40:00,debit,FOOD_DELIVERY,Zomato,642.75,wallet,WALLET,paytm_wallet,PI006,False,False,False,Food order
T000090,U001,2025-09-04T17:00:00,debit,ECOMMERCE,Myntra,499.38,upi,UPI,phonepe,PI002,True,False,False,Online shopping
T000091,U001,2025-09-04T14:40:00,debit,GROCERIES,DMart,99.36,upi,UPI,phonepe,PI002,True,False,False,
T000092,U001,2025-09-04T09:55:00,debit,TRANSPORT,Auto,204.3,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000093,U001,2025-09-04T18:45:00,debit,ENTERTAINMENT,Movies,51.91,card,CARD,credit_card,PI004,False,False,True,
T000094,U001,2025-09-04T17:50:00,debit,HEALTHCARE,Lab test,80.92,card,CARD,credit_card,PI004,False,False,True,
T000095,U001,2025-09-04T15:45:00,debit,MISC,Cigarettes,1025.34,wallet,WALLET,amazon_pay,PI035,False,False,False,
T000096,U001,2025-09-05T22:55:00,debit,FOOD_DELIVERY,Zomato,672.98,wallet,WALLET,paytm_wallet,PI006,False,False,False,Food order
T000097,U001,2025-09-05T16:25:00,debit,ECOMMERCE,Amazon,485.33,upi,UPI,gpay,PI001,True,True,False,Online shopping
T000098,U001,2025-09-05T09:40:00,debit,GROCERIES,BigBasket,252.92,upi,UPI,gpay,PI001,True,True,False,
T000099,U001,2025-09-05T09:30:00,debit,TRANSPORT,Ola,278.1,card,CARD,credit_card,PI004,False,False,True,
T000100,U001,2025-09-05T21:20:00,debit,ENTERTAINMENT,YouTube Premium,36.14,upi,UPI,gpay,PI001,True,True,False,
T000101,U001,2025-09-05T10:45:00,debit,RENT_OR_HOME,Rent transfer,12000.0,card,CARD,debit_card,PI005,False,False,False,Scheduled payment
T000102,U001,2025-09-05T14:00:00,debit,MISC,Wallet,209.01,upi,UPI,phonepe,PI002,True,False,False,
T000103,U001,2025-09-06T22:15:00,debit,ECOMMERCE,Myntra,1276.5,card,CARD,debit_card,PI005,False,False,False,Online shopping
T000104,U001,2025-09-06T16:30:00,debit,ECOMMERCE,Amazon,1020.57,card,CARD,credit_card,PI004,False,False,True,Online shopping
T000105,U001,2025-09-06T13:25:00,debit,GROCERIES,DMart,340.25,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000106,U001,2025-09-06T18:40:00,debit,TRANSPORT,Metro card,205.05,card,CARD,credit_card,PI004,False,False,True,
T000107,U001,2025-09-06T17:15:00,debit,ENTERTAINMENT,Netflix,95.47,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000108,U001,2025-09-06T12:00:00,debit,HEALTHCARE,Lab test,77.37,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000109,U001,2025-09-06T15:35:00,debit,MISC,Cigarettes,1079.87,upi,UPI,phonepe,PI002,True,False,False,
T000110,U001,2025-09-07T22:40:00,debit,FOOD_DELIVERY,Zomato,147.41,wallet,WALLET,paytm_wallet,PI006,False,False,False,Food order
T000111,U001,2025-09-07T16:30:00,debit,ECOMMERCE,Flipkart,148.62,wallet,WALLET,amazon_pay,PI035,False,False,False,Online shopping
T000112,U001,2025-09-07T10:45:00,debit,GROCERIES,BigBasket,56.42,upi,UPI,gpay,PI001,True,True,False,
T000113,U001,2025-09-07T12:45:00,debit,TRANSPORT,Metro card,196.47,card,CARD,credit_card,PI004,False,False,True,
T000114,U001,2025-09-07T17:00:00,debit,HEALTHCARE,Pharmacy,18.05,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000115,U001,2025-09-07T16:50:00,debit,MISC,UPI transfer,360.27,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000116,U001,2025-09-08T22:10:00,debit,FOOD_DELIVERY,Zomato,365.83,wallet,WALLET,paytm_wallet,PI006,False,False,False,Food order
T000117,U001,2025-09-08T11:40:00,debit,ECOMMERCE,Amazon,217.85,netbanking,NETBANKING,netbanking,PI007,False,False,False,Online shopping
T000118,U001,2025-09-08T17:00:00,debit,GROCERIES,DMart,280.48,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000119,U001,2025-09-08T18:10:00,debit,TRANSPORT,Uber,210.38,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000120,U001,2025-09-08T10:40:00,debit,MISC,Wallet,665.63,upi,UPI,phonepe,PI002,True,False,False,
T000121,U001,2025-09-09T19:10:00,debit,FOOD_DELIVERY,Swiggy,421.93,netbanking,NETBANKING,netbanking,PI007,False,False,False,Food order
T000122,U001,2025-09-09T15:15:00,debit,ECOMMERCE,Flipkart,290.01,upi,UPI,gpay,PI001,True,True,False,Online shopping
T000123,U001,2025-09-09T12:55:00,debit,GROCERIES,Local store,153.99,card,CARD,credit_card,PI004,False,False,True,
T000124,U001,2025-09-09T15:55:00,debit,TRANSPORT,Metro card,208.31,wallet,WALLET,amazon_pay,PI035,False,False,False,
T000125,U001,2025-09-09T19:50:00,debit,ENTERTAINMENT,Movies,87.24,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000126,U001,2025-09-09T17:05:00,debit,MISC,Bar,301.46,card,CARD,credit_card,PI004,False,False,True,
T000127,U001,2025-09-10T23:40:00,debit,FOOD_DELIVERY,Swiggy,230.5,upi,UPI,phonepe,PI002,True,False,False,Food order
T000128,U001,2025-09-10T18:20:00,debit,GROCERIES,BigBasket,194.59,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000129,U001,2025-09-10T21:15:00,debit,TRANSPORT,Ola,192.47,upi,UPI,gpay,PI001,True,True,False,
T000130,U001,2025-09-10T18:05:00,debit,ENTERTAINMENT,YouTube Premium,54.33,card,CARD,credit_card,PI004,False,False,True,
T000131,U001,2025-09-10T11:25:00,debit,MISC,Bar,350.19,upi,UPI,gpay,PI001,True,True,False,
T000132,U001,2025-09-11T20:40:00,debit,FOOD_DELIVERY,Swiggy,196.58,wallet,WALLET,paytm_wallet,PI006,False,False,False,Food order
T000133,U001,2025-09-11T21:45:00,debit,ECOMMERCE,Amazon,149.75,upi,UPI,bank_upi,PI003,True,False,False,Online shopping
T000134,U001,2025-09-11T19:50:00,debit,GROCERIES,Local store,310.92,upi,UPI,bank_upi,PI003,True,False,False,
T000135,U001,2025-09-11T09:15:00,debit,TRANSPORT,Auto,168.16,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000136,U001,2025-09-11T17:55:00,debit,ENTERTAINMENT,Cafe,176.72,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000137,U001,2025-09-11T11:05:00,debit,HEALTHCARE,Clinic,10.23,upi,UPI,bank_upi,PI003,True,False,False,
T000138,U001,2025-09-11T19:25:00,debit,MISC,UPI transfer,351.75,card,CARD,debit_card,PI005,False,False,False,
T000139,U001,2025-09-12T23:30:00,debit,FOOD_DELIVERY,Zomato,306.97,card,CARD,credit_card,PI004,False,False,True,Food order
T000140,U001,2025-09-12T10:05:00,debit,ECOMMERCE,Flipkart,69.53,upi,UPI,bank_upi,PI003,True,False,False,Online shopping
T000141,U001,2025-09-12T10:50:00,debit,GROCERIES,Local store,316.22,upi,UPI,gpay,PI001,True,True,False,
T000142,U001,2025-09-12T11:05:00,debit,TRANSPORT,Metro card,272.41,upi,UPI,bank_upi,PI003,True,False,False,
T000143,U001,2025-09-12T22:40:00,debit,ENTERTAINMENT,YouTube Premium,172.08,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000144,U001,2025-09-12T12:40:00,debit,HEALTHCARE,Clinic,10.43,wallet,WALLET,amazon_pay,PI035,False,False,False,
T000145,U001,2025-09-12T17:10:00,debit,MISC,Bar,210.0,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000146,U001,2025-09-13T22:55:00,debit,FOOD_DELIVERY,Zomato,360.7,card,CARD,credit_card,PI004,False,False,True,Food order
T000147,U001,2025-09-13T13:45:00,debit,ECOMMERCE,Flipkart,824.26,wallet,WALLET,paytm_wallet,PI006,False,False,False,Online shopping
T000148,U001,2025-09-13T13:20:00,debit,GROCERIES,BigBasket,288.85,card,CARD,credit_card,PI004,False,False,True,
T000149,U001,2025-09-13T11:25:00,debit,TRANSPORT,Ola,215.02,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000150,U001,2025-09-13T20:00:00,debit,ENTERTAINMENT,Cafe,186.99,card,CARD,credit_card,PI004,False,False,True,
T000151,U001,2025-09-13T12:15:00,debit,HEALTHCARE,Clinic,57.69,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000152,U001,2025-09-13T14:55:00,debit,MISC,Wallet,620.34,wallet,WALLET,amazon_pay,PI035,False,False,False,
T000153,U001,2025-09-14T19:15:00,debit,FOOD_DELIVERY,Zomato,548.41,netbanking,NETBANKING,netbanking,PI007,False,False,False,Food order
T000154,U001,2025-09-14T12:55:00,debit,ECOMMERCE,Amazon,594.89,wallet,WALLET,amazon_pay,PI035,False,False,False,Online shopping
T000155,U001,2025-09-14T13:35:00,debit,GROCERIES,DMart,220.78,card,CARD,credit_card,PI004,False,False,True,
T000156,U001,2025-09-14T20:55:00,debit,TRANSPORT,Ola,183.7,upi,UPI,gpay,PI001,True,True,False,
T000157,U001,2025-09-14T17:45:00,debit,HEALTHCARE,Clinic,67.31,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000158,U001,2025-09-14T18:30:00,debit,MISC,Cigarettes,265.82,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000159,U001,2025-09-15T21:00:00,debit,FOOD_DELIVERY,Zomato,68.98,upi,UPI,gpay,PI001,True,True,False,Food order
T000160,U001,2025-09-15T11:30:00,debit,ECOMMERCE,Myntra,10.69,netbanking,NETBANKING,netbanking,PI007,False,False,False,Online shopping
T000161,U001,2025-09-15T19:20:00,debit,GROCERIES,BigBasket,156.67,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000162,U001,2025-09-15T08:05:00,debit,TRANSPORT,Auto,139.02,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000163,U001,2025-09-15T21:55:00,debit,ENTERTAINMENT,YouTube Premium,80.49,card,CARD,credit_card,PI004,False,False,True,
T000164,U001,2025-09-15T15:45:00,debit,HEALTHCARE,Pharmacy,35.43,upi,UPI,bank_upi,PI003,True,False,False,
T000165,U001,2025-09-15T12:35:00,debit,MISC,Wallet,159.7,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000166,U001,2025-09-16T21:40:00,debit,FOOD_DELIVERY,Zomato,455.63,netbanking,NETBANKING,netbanking,PI007,False,False,False,Food order
T000167,U001,2025-09-16T16:55:00,debit,ECOMMERCE,Myntra,88.13,wallet,WALLET,paytm_wallet,PI006,False,False,False,Online shopping
T000168,U001,2025-09-16T17:35:00,debit,GROCERIES,BigBasket,347.43,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000169,U001,2025-09-16T12:20:00,debit,TRANSPORT,Ola,174.14,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000170,U001,2025-09-16T21:00:00,debit,ENTERTAINMENT,Cafe,340.22,upi,UPI,gpay,PI001,True,True,False,
T000171,U001,2025-09-16T09:55:00,debit,HEALTHCARE,Lab test,120.13,upi,UPI,bank_upi,PI003,True,False,False,
T000172,U001,2025-09-16T14:15:00,debit,MISC,Cigarettes,108.0,upi,UPI,bank_upi,PI003,True,False,False,
T000173,U001,2025-09-17T19:35:00,debit,FOOD_DELIVERY,Swiggy,663.49,card,CARD,credit_card,PI004,False,False,True,Food order
T000174,U001,2025-09-17T13:00:00,debit,ECOMMERCE,Flipkart,79.96,card,CARD,credit_card,PI004,False,False,True,Online shopping
T000175,U001,2025-09-17T17:20:00,debit,GROCERIES,BigBasket,180.15,card,CARD,credit_card,PI004,False,False,True,
T000176,U001,2025-09-17T08:25:00,debit,TRANSPORT,Uber,287.07,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000177,U001,2025-09-17T13:25:00,debit,HEALTHCARE,Clinic,9.93,upi,UPI,gpay,PI001,True,True,False,
T000178,U001,2025-09-17T22:45:00,debit,MISC,UPI transfer,660.56,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000179,U001,2025-09-18T21:00:00,debit,FOOD_DELIVERY,Zomato,154.55,card,CARD,credit_card,PI004,False,False,True,Food order
T000180,U001,2025-09-18T08:25:00,debit,TRANSPORT,Ola,221.0,card,CARD,credit_card,PI004,False,False,True,
T000181,U001,2025-09-18T21:20:00,debit,ENTERTAINMENT,Cafe,130.38,upi,UPI,gpay,PI001,True,True,False,
T000182,U001,2025-09-18T12:20:00,debit,HEALTHCARE,Clinic,91.64,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000183,U001,2025-09-18T19:50:00,debit,MISC,Wallet,144.0,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000184,U001,2025-09-19T20:15:00,debit,FOOD_DELIVERY,Swiggy,536.92,card,CARD,credit_card,PI004,False,False,True,Food order
T000185,U001,2025-09-19T12:10:00,debit,ECOMMERCE,Amazon,12.11,netbanking,NETBANKING,netbanking,PI007,False,False,False,Online shopping
T000186,U001,2025-09-19T11:35:00,debit,GROCERIES,Local store,113.58,card,CARD,debit_card,PI005,False,False,False,
T000187,U001,2025-09-19T20:20:00,debit,TRANSPORT,Ola,275.39,upi,UPI,gpay,PI001,True,True,False,
T000188,U001,2025-09-19T22:35:00,debit,ENTERTAINMENT,Netflix,144.1,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000189,U001,2025-09-19T14:15:00,debit,HEALTHCARE,Pharmacy,76.24,card,CARD,credit_card,PI004,False,False,True,
T000190,U001,2025-09-19T18:35:00,debit,MISC,UPI transfer,828.97,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000191,U001,2025-09-20T19:15:00,debit,FOOD_DELIVERY,Swiggy,96.81,upi,UPI,bank_upi,PI003,True,False,False,Food order
T000192,U001,2025-09-20T21:15:00,debit,ECOMMERCE,Flipkart,508.41,wallet,WALLET,paytm_wallet,PI006,False,False,False,Online shopping
T000193,U001,2025-09-20T12:35:00,debit,ECOMMERCE,Amazon,1027.97,card,CARD,debit_card,PI005,False,False,False,Online shopping
T000194,U001,2025-09-20T13:20:00,debit,GROCERIES,BigBasket,354.09,wallet,WALLET,amazon_pay,PI035,False,False,False,
T000195,U001,2025-09-20T12:40:00,debit,TRANSPORT,Auto,190.38,card,CARD,credit_card,PI004,False,False,True,
T000196,U001,2025-09-20T20:05:00,debit,ENTERTAINMENT,Cafe,102.98,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000197,U001,2025-09-20T21:40:00,debit,MISC,Bar,540.0,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000198,U001,2025-09-21T20:20:00,debit,FOOD_DELIVERY,Zomato,482.4,upi,UPI,gpay,PI001,True,True,False,Food order
T000199,U001,2025-09-21T15:55:00,debit,ECOMMERCE,Myntra,427.6,netbanking,NETBANKING,netbanking,PI007,False,False,False,Online shopping
T000200,U001,2025-09-21T17:25:00,debit,GROCERIES,BigBasket,114.08,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000201,U001,2025-09-21T20:55:00,debit,TRANSPORT,Auto,143.55,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000202,U001,2025-09-21T22:05:00,debit,ENTERTAINMENT,Cafe,128.5,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000203,U001,2025-09-21T17:45:00,debit,HEALTHCARE,Clinic,25.63,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000204,U001,2025-09-21T11:20:00,debit,MISC,Bar,650.15,netbanking,NETBANKING,netbanking,PI007,False,False,False,
T000205,U001,2025-09-22T23:35:00,debit,FOOD_DELIVERY,Zomato,528.09,upi,UPI,gpay,PI001,True,True,False,Food order
T000206,U001,2025-09-22T18:45:00,debit,ECOMMERCE,Amazon,166.09,card,CARD,credit_card,PI004,False,False,True,Online shopping
